"from","to"
"ca","me"
"ca","me"
"ca","me"
"ca","me"
"ca","me"
"ca","me"
"ca","me"
"ca","me"
"ca","me"
"ca","me"
"ca","me"
"ca","me"
"ca","me"
"ca","me"
"ca","me"
"ca","me"
"ca","me"
"ca","me"
"ca","me"
"ca","me"
"ca","me"
"ca","me"
"ca","me"
"ca","me"
"ca","me"
"ca","me"
"ca","me"
"ca","me"
"ca","me"
"ca","me"
"ca","me"
"ca","me"
"ca","me"
"ca","me"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","st"
"ca","po"
"ca","po"
"ca","po"
"ca","po"
"ca","po"
"ca","po"
"ca","po"
"ca","po"
"ca","po"
"ca","po"
"ca","po"
"ca","po"
"ca","po"
"ca","po"
"ca","po"
"ca","po"
"ca","po"
"ca","po"
"ca","po"
"ca","po"
"ca","po"
"ca","po"
"ca","po"
"ca","po"
"ca","po"
"ca","po"
"ca","po"
"ca","po"
"ca","po"
"ca","po"
"ca","po"
"ca","po"
"ca","po"
"ca","cI"
"ca","cI"
"ca","cI"
"ca","cI"
"ca","cI"
"ca","cI"
"ca","cI"
"ca","cI"
"ca","cI"
"ca","cI"
"ca","cI"
"ca","cI"
"ca","cI"
"ca","cI"
"ca","cII"
"ca","cII"
"ca","cII"
"ca","cII"
"ca","cII"
"ca","cII"
"ca","cII"
"ca","cII"
"ca","cII"
"ca","ta"
"ca","ni"
"me","st"
"me","st"
"me","st"
"me","st"
"me","st"
"me","st"
"me","st"
"me","st"
"me","st"
"me","st"
"me","st"
"me","st"
"me","st"
"me","st"
"me","st"
"me","st"
"me","st"
"me","st"
"me","st"
"me","st"
"me","st"
"me","st"
"me","st"
"me","st"
"me","st"
"me","st"
"me","st"
"me","st"
"me","st"
"me","st"
"me","st"
"me","po"
"me","po"
"me","po"
"me","po"
"me","po"
"me","po"
"me","po"
"me","po"
"me","po"
"me","po"
"me","po"
"me","po"
"me","po"
"me","po"
"me","po"
"me","po"
"me","po"
"me","po"
"me","po"
"me","po"
"me","po"
"me","po"
"me","cI"
"me","cI"
"me","cI"
"me","cI"
"me","cI"
"me","cI"
"me","cI"
"me","ta"
"me","u"
"st","po"
"st","po"
"st","po"
"st","po"
"st","po"
"st","po"
"st","po"
"st","po"
"st","po"
"st","po"
"st","po"
"st","po"
"st","po"
"st","po"
"st","po"
"st","po"
"st","po"
"st","po"
"st","po"
"st","po"
"st","po"
"st","po"
"st","po"
"st","cI"
"st","cI"
"st","cI"
"st","cI"
"st","cI"
"st","cI"
"st","cI"
"st","cI"
"st","cI"
"st","cI"
"st","cI"
"st","cI"
"st","cI"
"st","cI"
"st","cI"
"st","cI"
"st","cI"
"st","cII"
"st","cII"
"st","cII"
"st","cII"
"st","cII"
"st","cII"
"st","cII"
"st","cII"
"st","cII"
"st","cII"
"st","cII"
"st","cII"
"st","cII"
"st","cII"
"st","cII"
"st","cII"
"st","cII"
"st","cII"
"st","cII"
"st","cII"
"st","u"
"st","an"
"po","cI"
"po","cI"
"po","cI"
"po","cI"
"po","cI"
"po","cI"
"po","cI"
"po","cI"
"po","cI"
"po","cI"
"po","cI"
"po","cI"
"po","cI"
"po","cI"
"po","cI"
"po","cI"
"po","cI"
"po","cI"
"po","cI"
"po","cI"
"po","cI"
"po","cI"
"po","cI"
"po","cI"
"po","cI"
"po","cI"
"po","cI"
"po","cI"
"po","cI"
"po","cI"
"po","cI"
"po","cI"
"po","cI"
"po","cI"
"po","cI"
"po","cI"
"po","cII"
"po","cII"
"po","cII"
"po","cII"
"po","cII"
"po","cII"
"po","cII"
"po","cII"
"po","cII"
"po","cII"
"po","cII"
"po","cII"
"po","cII"
"po","cII"
"po","cII"
"po","cII"
"po","cII"
"po","cII"
"po","cII"
"po","cII"
"po","cII"
"po","cII"
"po","cII"
"po","cII"
"po","cII"
"po","cII"
"po","cII"
"po","sq"
"po","ni"
"cI","cII"
"cI","cII"
"cI","cII"
"cI","cII"
"cI","cII"
"cI","cII"
"cI","sq"
"cI","u"
"cI","u"
"cI","u"
"cI","ro"
"cI","an"
"cI","ni"
"cII","sq"
"cII","sq"
"cII","sq"
"cII","ta"
"cII","ta"
"cII","ta"
"cII","u"
"cII","u"
"cII","u"
"cII","ro"
"cII","ro"
"cII","ro"
"cII","ni"
"cII","sl"
