"id","name","height","mass","hair_color","skin_color","eye_color","birth_year","sex","homeworld","species","n","m","directed"
1,"1",96,32,NA,"white, blue","red",33,"none","Naboo","Droid",33,101,FALSE
2,"2",185,85,"black","dark","brown",NA,"male","Naboo","Human",33,101,FALSE
3,"3",170,75,"grey","pale","yellow",82,"male","Naboo","Human",33,101,FALSE
4,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,33,101,FALSE
5,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,33,101,FALSE
6,"6",188,84,"none","dark","brown",72,"male","Haruun Kal","Human",33,101,FALSE
7,"7",66,17,"white","green","brown",896,"male",NA,"Yoda's species",33,101,FALSE
8,"8",198,82,"white","pale","yellow",92,"male","Cerea","Cerean",33,101,FALSE
9,"9",191,NA,"black","tan","brown",67,"male","Alderaan","Human",33,101,FALSE
10,"10",196,66,"none","orange","orange",52,"male","Naboo","Gungan",33,101,FALSE
11,"11",182,77,"auburn, white","fair","blue-gray",57,"male","Stewjon","Human",33,101,FALSE
12,"12",188,84,"blond","fair","blue",41.9,"male","Tatooine","Human",33,101,FALSE
13,"13",165,45,"brown","light","brown",46,"female","Naboo","Human",33,101,FALSE
14,"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,33,101,FALSE
15,"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,33,101,FALSE
16,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,33,101,FALSE
17,"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,33,101,FALSE
18,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,33,101,FALSE
19,"19",213,NA,"none","grey","black",NA,"female","Kamino","Kaminoan",33,101,FALSE
20,"20",229,88,"none","grey","black",NA,"male","Kamino","Kaminoan",33,101,FALSE
21,"21",183,78.2,"black","fair","brown",31.5,"male","Kamino","Human",33,101,FALSE
22,"22",183,79,"black","tan","brown",66,"male","Concord Dawn","Human",33,101,FALSE
23,"23",137,NA,"black","blue, grey","yellow",NA,"male","Toydaria","Toydarian",33,101,FALSE
24,"24",167,75,NA,"gold","yellow",112,"none","Tatooine","Droid",33,101,FALSE
25,"25",178,120,"brown, grey","light","blue",52,"male","Tatooine","Human",33,101,FALSE
26,"26",165,75,"brown","light","blue",47,"female","Tatooine","Human",33,101,FALSE
27,"27",183,NA,"brown","fair","blue",82,"male","Tatooine","Human",33,101,FALSE
28,"28",163,NA,"black","fair","brown",72,"female","Tatooine","Human",33,101,FALSE
29,"29",193,80,"white","fair","brown",102,"male","Serenno","Human",33,101,FALSE
30,"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,33,101,FALSE
31,"31",183,80,"none","green","yellow",NA,"male","Geonosis","Geonosian",33,101,FALSE
32,"32",191,90,"none","mottled green","red",NA,"male","Cato Neimoidia","Neimodian",33,101,FALSE
33,"33",188,80,"none","orange","black",22,"male","Dorin","Kel Dor",33,101,FALSE
