"id","name","height","mass","hair_color","skin_color","eye_color","birth_year","sex","homeworld","species","n","m","directed"
1,"1",96,32,NA,"white, blue","red",33,"none","Naboo","Droid",20,55,FALSE
2,"2",228,112,"brown","unknown","blue",200,"male","Kashyyyk","Wookiee",20,55,FALSE
3,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,20,55,FALSE
4,"4",202,136,"none","white","yellow",41.9,"male","Tatooine","Human",20,55,FALSE
5,"5",167,75,NA,"gold","yellow",112,"none","Tatooine","Droid",20,55,FALSE
6,"6",180,NA,"none","pale","pink",NA,"male","Ryloth","Twi'lek",20,55,FALSE
7,"7",175,1358,NA,"green-tan, brown","orange",600,"hermaphroditic","Nal Hutta","Hutt",20,55,FALSE
8,"8",172,77,"blond","fair","blue",19,"male","Tatooine","Human",20,55,FALSE
9,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,20,55,FALSE
10,"10",180,80,"brown","fair","brown",29,"male","Corellia","Human",20,55,FALSE
11,"11",150,49,"brown","light","brown",19,"female","Alderaan","Human",20,55,FALSE
12,"12",177,79,"black","dark","brown",31,"male","Socorro","Human",20,55,FALSE
13,"13",170,75,"grey","pale","yellow",82,"male","Naboo","Human",20,55,FALSE
14,"14",66,17,"white","green","brown",896,"male",NA,"Yoda's species",20,55,FALSE
15,"15",182,77,"auburn, white","fair","blue-gray",57,"male","Stewjon","Human",20,55,FALSE
16,"16",150,NA,"auburn","fair","blue",48,"female","Chandrila","Human",20,55,FALSE
17,"17",180,83,"none","brown mottle","orange",41,"male","Mon Cala","Mon Calamari",20,55,FALSE
18,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,20,55,FALSE
19,"19",170,77,"brown","fair","hazel",21,"male","Corellia","Human",20,55,FALSE
20,"20",188,84,"blond","fair","blue",41.9,"male","Tatooine","Human",20,55,FALSE
